#,Name of the Plant,Family,Common Name,link
160,Artabotrys hexapetalus (L.f.) Bhandari,ANNONACEAE,Hara Champaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000014000&column=szBarcode
161,Artabotrys suaveolens Blume,ANNONACEAE,Koluvaravalli (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009913&column=szBarcode
162,Artanema longifolium (L). Vatke,SCROPHULARIACEAE,Kokilaksha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009675&column=szBarcode
163,Artemisia absynthium L.,ASTERACEAE,Vilayathi afsanthin,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013630&column=szBarcode
164,Artemisia dracunculcus L.,ASTERACEAE,Dragon Mugwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013151&column=szBarcode
165,Artemisia indica Willd.,ASTERACEAE,Nagdona (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013148&column=szBarcode
166,Artemisia maritima L.,ASTERACEAE,Kirmala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013634&column=szBarcode
167,Artemisia nilagirica (C.B.Clarke) Pamp.,ASTERACEAE,Nagdona,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013641&column=szBarcode
168,Artemisia persica Boiss.,ASTERACEAE,Pardesi davano (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013635&column=szBarcode
169,Artemisia roxburghiana Wall. ex. Besser,ASTERACEAE,Roxburgh's Wormwood (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013636&column=szBarcode
170,Artemisia sacrorum Ledeb.,ASTERACEAE,Burmack (Ladakh),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013637&column=szBarcode
171,Artemisia scoparia Waldst. & Kit.,ASTERACEAE,"Seeta-bani, Jhau",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013639&column=szBarcode
172,Artemisia sivarsiana Ehrh. Ex. Willd.,ASTERACEAE,Kaadu davana (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013640&column=szBarcode
173,Arthrocnemum indicum (Willd.) Moq.,CHENOPODIACEAE,Machola,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009909&column=szBarcode
174,Artocarpus heterophyllus Lam.,MORACEAE,Kathal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009768&column=szBarcode
175,Artocarpus lakoocha Roxb.,MORACEAE,Barhal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009767&column=szBarcode
176,Arundo donax L.,POACEAE,Bara nal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003195&column=szBarcode
177,Asclepias curassavica L.,ASCLEPIADACEAE,"Kakatundi, Kakanasika",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009261&column=szBarcode
178,Asparagus adscendens Roxb.,LILIACEAE,Satavar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003097&column=szBarcode
179,Asparagus filicinus Buch.-Ham ex D. Don,LILIACEAE,Allipalli (Punj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003099&column=szBarcode
180,Asparagus gonocladus Baker,LILIACEAE,Sadaveri (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003100&column=szBarcode
181,Asparagus officinalis L.,LILIACEAE,"Marchuba, Paragus, Vilayati Karua, Nakdown, Margiyeh, Halyun",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003101&column=szBarcode
182,Asparagus racemosus Willd.,LILIACEAE,"Satawar, Satmuli (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003098&column=szBarcode
183,Asplenium adiantum-nigrum L.,ASPLENIACEAE,Black Spleenwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003266&column=szBarcode
184,Astragalus strobiliferus Royle ex Benth.,FABACEAE,Garmezu (Chitral),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003696&column=szBarcode
185,Astragalus tribuloides Delile,FABACEAE,Ogai (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003695&column=szBarcode
186,Asystasia gangetica (L.) T.Anderson,ACANTHACEAE,Lavana-valli (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009040&column=szBarcode
187,Atriplex hortensis L.,CHENOPODIACEAE,"Korake, Surake",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009906&column=szBarcode
188,Atropa acuminata Royle,SOLANACEAE,Indian Atropa (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009682&column=szBarcode
189,Atropa belladona L.,SOLANACEAE,Angur Shefa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009683&column=szBarcode
190,Atylosia scrabaeoides (L.) Benth.,FABACEAE,"Bnkulthi, Birghore (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003618&column=szBarcode
191,Avena fatua L.,POACEAE,Common wild oat (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003189&column=szBarcode
192,Avena sativa L.,POACEAE,Common Oat (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003190&column=szBarcode
193,Averrhoa bilimbi L.,OXALIDACEAE,Tree Sorrel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013456&column=szBarcode
194,Avicennia officinalis L.,VERBENACEAE,Bina,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009085&column=szBarcode
195,Azadirachta indica (L.) A.Juss.,MELIACEAE,Nim,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009901&column=szBarcode
196,Azanza lampas (Cav.) Alef.,MALVACEAE,"Jangli bhendi, Bankapasi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013835&column=szBarcode
197,Azima tetracantha Lam.,SALVADORACEAE,Kantagur-kamai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009288&column=szBarcode
198,Bacopa monnieri (L.) Pennell,SCROPHULARIACEAE,Nira-brahmi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009676&column=szBarcode
199,Balanites aegyptiaca (L.) Delile,BALANITACEAE,"Hingan, Hingot",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013478&column=szBarcode
200,Baliospermum montanum (Willd.) Muell.Arg.,EUPHORBIACEAE,Danti,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008983&column=szBarcode
201,Bambusa bambos Druce,POACEAE,Kalak (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003181&column=szBarcode
202,Barleria buxifolia L.,ACANTHACEAE,Liksura (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009043&column=szBarcode
203,Barleria courtallica Nees,ACANTHACEAE,Chethasahacharam (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009059&column=szBarcode
204,Barleria cristata L.,ACANTHACEAE,Nil jhinti,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009044&column=szBarcode
205,Barleria longiflora L.f.,ACANTHACEAE,Ekakantaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009054&column=szBarcode
206,Barleria noctiflora L.f.,ACANTHACEAE,Naga gorinta (Telugu),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009042&column=szBarcode
207,Barleria prionitis L.,ACANTHACEAE,"Jhinti, Katsareya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009041&column=szBarcode
208,Barleria strigosa Willd.,ACANTHACEAE,Neelakurantak (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009048&column=szBarcode
209,Barringtonia acutangula (L.) Gaertn.,LECYTHIDACEAE,Hijjal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013810&column=szBarcode
210,Barringtonia racemosa (L.) Roxb.,LECYTHIDACEAE,Samudraphala (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013809&column=szBarcode
211,Basella rubra L.,BASELLACEAE,"Poi, Safedbachla",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009908&column=szBarcode
212,Bauhinia malabarica Roxb.,CAESALPINIACEAE,"Amli, Amlosa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003492&column=szBarcode
213,Bauhinia purpurea L.,CAESALPINIACEAE,Khairwal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003486&column=szBarcode
214,Bauhinia racemosa Lam.,CAESALPINIACEAE,"Kachnal, Ashta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003491&column=szBarcode
215,Bauhinia retusa Ham. ex. DC.,CAESALPINIACEAE,Semla,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003483&column=szBarcode
216,Bauhinia vahlii Wight & Arn.,CAESALPINIACEAE,Maljan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003489&column=szBarcode
217,Bauhinia variegata L.,CAESALPINIACEAE,Kachnar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003485&column=szBarcode
218,Begonia rex Putz.,BEGONIACEAE,King Begonia (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013776&column=szBarcode
219,Benincasa hispida (Thunb.) Cogn.,CUCURBITACEAE,Petha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013781&column=szBarcode
220,Berberis aristata DC.,BERBERIDACEAE,"Chitra, Daruhald",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003776&column=szBarcode
221,Berberis asiatica Roxb. ex. DC.,BERBERIDACEAE,Kilmora (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003787&column=szBarcode
222,Berberis insignis Hook.f. & Thomson,BERBERIDACEAE,Kasmal (Simla),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003786&column=szBarcode
223,Berberis lycium Royle,BERBERIDACEAE,Kasmal (Simla),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003775&column=szBarcode
224,Berchemia lineata DC.,RHAMNACEAE,Kameti (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003605&column=szBarcode
225,Bergia suffriticosa (Del.) Fenzl.,ELATINACEAE,Gangharaw (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003823&column=szBarcode
226,Beta vulgaris L.,CHENOPODIACEAE,Chukandar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008834&column=szBarcode
227,Betula alnoides Buch.-Ham.ex D.Don,BETULACEAE,Bhojpatra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008928&column=szBarcode
228,Betula utilis D.Don,BETULACEAE,Bhojpatra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008929&column=szBarcode
229,Bidens tripartita L.,ASTERACEAE,Threelobe Beggar Tick (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013643&column=szBarcode
230,Biophytum sensitivum (L.) DC.,OXALIDACEAE,Lajalu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013457&column=szBarcode
231,Bischofia javanica Blume,EUPHORBIACEAE,Paniala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008987&column=szBarcode
232,Bixa orellana L.,BIXACEAE,Latkan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003725&column=szBarcode
233,Blechnum orientale L.,BLECHNACEAE,Haththazori,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003252&column=szBarcode
234,Blepharis edulis Pers.,ACANTHACEAE,Chaupatia,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009056&column=szBarcode
235,Blepharis indica Stocks ex T.Anderson,ACANTHACEAE,Kolimukkan chedi (Tamil),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009057&column=szBarcode
236,Blighia sapida Koen. & Sims.,SAPINDACEAE,Akee (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003579&column=szBarcode
237,Blumea balsamifera (L.) DC.,ASTERACEAE,Kakaronda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013645&column=szBarcode
238,Blumea densiflora (Wall.) DC.,ASTERACEAE,Grand Blumea (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013647&column=szBarcode
239,Blumea eriantha DC.,ASTERACEAE,Nimurdi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013648&column=szBarcode
240,Blumea lacera (Burm.f.) DC.,ASTERACEAE,Kakranda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013649&column=szBarcode
241,Blumea lanceolaria (Roxb.) Druce,ASTERACEAE,Tera paibi macha (Manipuri),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013650&column=szBarcode
242,Boehmeria nivea (L.) Gaud.,URTICACEAE,Kankura (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009014&column=szBarcode
243,Boerhavia diffusa L.,NYCTAGINACEAE,Sant,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008904&column=szBarcode
244,Bombax ceiba L.,BOMBACACEAE,"Semal, Semul (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003869&column=szBarcode
245,Borassus flabellifer L.,ARECACEAE,Tar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003199&column=szBarcode
246,Borreria articularis (L.f.) F.N.Wiliams,RUBIACEAE,"Guthari, Madanaghanta (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013597&column=szBarcode
247,Boswellia serrata Roxb. ex Coleb.,BURSERACEAE,Salai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009883&column=szBarcode
248,Botrychium lunaria (L.) Sw.,OPHIOGLOSSACEAE,Moonwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003270&column=szBarcode
249,Botrychium virginianum (L.) Sw.,OPHIOGLOSSACEAE,Rattle snake fern (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003271&column=szBarcode
250,Brassica juncea (L.) Czern.,BRASSICACEAE,"Asal rai, Laha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003753&column=szBarcode
251,Brassica nigra L.,BRASSICACEAE,Banarasi rai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003752&column=szBarcode
252,Breynia retusa (Dennst.) Alston,EUPHORBIACEAE,Chitki (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008956&column=szBarcode
253,Breynia retusa (L.) Spreng.,EUPHORBIACEAE,Chitki (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008952&column=szBarcode
254,Breynia rhamnoides (Retz.) Muell.-Arg.,EUPHORBIACEAE,Tikhar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008957&column=szBarcode
255,Bridelia montana Willd.,EUPHORBIACEAE,"Khaja, Gondui",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008953&column=szBarcode
256,Bromus mollis L.,POACEAE,Soft brome (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003182&column=szBarcode
257,Brucea javanica (L.) Merr.,SIMAROUBACEAE,Chinese Sumac (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013481&column=szBarcode
258,Bryonopsis laciniosa (L.) Naud.,CUCURBITACEAE,"Gorgu-naru, Mala (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013780&column=szBarcode
259,Bryophyllum pinnatum Lam.,CRASSULACEAE,Zakhm-haiyat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009436&column=szBarcode
260,Buchanania lanzan Spreng.,ANACARDIACEAE,"Piyar, Chironji",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003567&column=szBarcode
261,Buddleja asiatica Lour.,BUDDLEJACEAE,Neemda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013557&column=szBarcode
262,Bunium persicum (Boiss.) Fedt.,APIACEAE,"Siah-zirah, Kala-zirah",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013757&column=szBarcode
263,Butea monosperma (Lam.) Taub.,FABACEAE,"Dhak, Palas (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003662&column=szBarcode
264,Butea parviflora Roxb.,FABACEAE,"Maulo, Bando",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003660&column=szBarcode
265,Butea superba Roxb.,FABACEAE,Palas lata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003661&column=szBarcode
266,Buxus wallichiana Baill.,BUXACEAE,"Chikri, Papri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009012&column=szBarcode
267,Byttneria herbacea Roxb.,STERCULIACEAE,Kambraj (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003857&column=szBarcode
268,Cadaba fruticosa (L.) Druce,CAPPARACEAE,Kodhab,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003737&column=szBarcode
269,Cadaba trifoliata (Roxb.) Wight & Arn.,CAPPARACEAE,Balaya (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003739&column=szBarcode
270,Caesalpinia bonduc (L.) Roxb.,CAESALPINIACEAE,"Kantikaranjua, Kat-karanj",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003525&column=szBarcode
271,Caesalpinia coriaria (Jacq.) Willd.,CAESALPINIACEAE,Dividivi (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003519&column=szBarcode
272,Caesalpinia crista L.,CAESALPINIACEAE,"Karanju, Katkaranj",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003527&column=szBarcode
273,Caesalpinia digyna Rottler,CAESALPINIACEAE,Vakeri-mul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003518&column=szBarcode
274,Caesalpinia pulcherrima (L.) Swartz,CAESALPINIACEAE,Guletura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003522&column=szBarcode
275,Caesalpinia sappan L.,CAESALPINIACEAE,"Bakam, Patang",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003523&column=szBarcode
276,Cajanus cajan (L.) Millsp.,FABACEAE,"Arhar, Tur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003620&column=szBarcode
277,Calamus rotang L.,ARECACEAE,Arichural (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003209&column=szBarcode
278,Calamus travancoricus Bedd. ex Becc.,ARECACEAE,Kattuchooral (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003206&column=szBarcode
279,Calendula officinalis L.,ASTERACEAE,Zergul (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013653&column=szBarcode
280,Callicarpa arborea Roxb. ex C.B.Clarke,VERBENACEAE,Khoja (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009072&column=szBarcode
281,Callicarpa longifolia Lam.,VERBENACEAE,Dieng-soh-kait-lang (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009069&column=szBarcode
282,Callicarpa macrophylla Vahl,VERBENACEAE,"Daya, Priyangu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009067&column=szBarcode
283,Callicarpa tomentosa (L.) Murr.,VERBENACEAE,Bastra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009073&column=szBarcode
284,Calligonum polygonoides L.,POLYGONACEAE,Phog,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009910&column=szBarcode
285,Callistemon lanceolatus DC.,MYRTACEAE,Bottle Brush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013797&column=szBarcode
286,Calophyllum apetalum Willd.,CLUSIACEAE,Bobbi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003801&column=szBarcode
287,Calophyllum inophyllum L.,CLUSIACEAE,Sultanachampa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003803&column=szBarcode
288,Calotropis gigantea (L.) W.T.Aiton,ASCLEPIADACEAE,Ak,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009264&column=szBarcode
289,Calotropis procera (Aiton) W.T.Aiton,ASCLEPIADACEAE,"Akada, Akavana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009260&column=szBarcode
290,Caltha palustris L.,RANUNCULACEAE,Mumiri (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009950&column=szBarcode
291,Calycopteris floribunda (Roxb.) Lam.,COMBRETACEAE,Kokaray,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013714&column=szBarcode
292,Camellia kissi Wall.,THEACEAE,Kissi (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003798&column=szBarcode
293,Camellia sinensis (L.) Kuntze,THEACEAE,"Cha, Chai",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003797&column=szBarcode
294,Cananga odorata Hook.f. & Thoms.,ANNONACEAE,Karumugai (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013999&column=szBarcode
295,Canavalia gladiata (Jacq.) DC.,FABACEAE,"Bara Sem, Sufed Kadsumbal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003626&column=szBarcode
296,Canna indica L.,CANNACEAE,"Sabbajaya, Sarvajjaya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003134&column=szBarcode
297,Cannabis sativa L.,CANNABACEAE,"Bhang, Ganja",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009006&column=szBarcode
298,Canscora decussata (Roxb.) Schult. & Schult.f.,GENTIANACEAE,Sankhaphuli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013560&column=szBarcode
299,Canscora diffusa (Vahl) R.Br. ex. Roem. & Schult.,GENTIANACEAE,Kyoukpan (Burma),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013561&column=szBarcode
