#,Name of the Plant,Family,Common Name,link
141,Arctium lappa L.,ASTERACEAE,"Jangli Kuth, Burdock (Eng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013628&column=szBarcode
142,Ardisia solanacea (Poir.) Roxb.,MYRSINACEAE,Dhan-priya,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009223&column=szBarcode
143,Areca catechu L.,ARECACEAE,"Supari, Chaali",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003212&column=szBarcode
144,Areca triandra Roxb. ex Buch.-Ham.,ARECACEAE,wild areca palm (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003213&column=szBarcode
145,Arenga saccharifera Labill.,ARECACEAE,Sugar palm (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003211&column=szBarcode
146,Argemone mexicana L.,PAPAVERACEAE,Bharbhand,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003773&column=szBarcode
147,Argyreia cuneata (Willd.) Ker.-Gawl,CONVOLVULACEAE,Mhalungi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009690&column=szBarcode
148,Argyreia imbricata (Roth) Santapau & V.Patel,CONVOLVULACEAE,Errakuta (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009695&column=szBarcode
149,Argyreia nervosa (Burm.f.) Boj.,CONVOLVULACEAE,"Samudrasokha, Ghavapatta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009693&column=szBarcode
150,Arisaema leschenaultii Blume,ARACEAE,Pambucholam (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003226&column=szBarcode
151,Arisaema speciosum (Wall.) Mart.,ARACEAE,"Samo-ki-khumb, Kiralu( Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003225&column=szBarcode
152,Arisaema tortuosum (Wall.) Schott,ARACEAE,"Bagh Jandhra, Lin Cheisu (Manipuri)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003227&column=szBarcode
153,Aristida depressa Retz.,POACEAE,sixweeks threeawn (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003186&column=szBarcode
154,Aristolochia bracteolata Lam.,ARISTOLOCHIACEAE,Kitamari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008873&column=szBarcode
155,Aristolochia indica L.,ARISTOLOCHIACEAE,Ishvari mul (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008869&column=szBarcode
156,Aristolochia tagala Chem.,ARISTOLOCHIACEAE,Nallayiswari (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008872&column=szBarcode
157,Arnebia benthamii (Wall.ex G. Don) Johnston,BORAGINACEAE,Kashmiri kahzaban (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009724&column=szBarcode
158,Arnebia euchroma (Royle) Johnston,BORAGINACEAE,"Laljiri (Garhwal), Aam (Ladh.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013156&column=szBarcode
159,Arnica montana L.,ASTERACEAE,Leopard's bane (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013629&column=szBarcode
